/////////////////////////// CORRECTED PROBABILITIES ///////////////////////////


/////////////////////// ARPA NET /////////////////////////



//////////////// CONSTANT BANDWIDTH ////////////////

connections_200_NSFNET-Topo-0.001-0.02-0.2.txt, dist, optimistic, 0.68
connections_300_NSFNET-Topo-0.001-0.01-0.1.txt, dist, optimistic, 0.77
connections_300_NSFNET-Topo-0.001-0.004-0.04.txt, dist, optimistic, 1.00
connections_100_NSFNET-Topo-0.001-0.006-0.06.txt, dist, optimistic, 1.00
connections_300_NSFNET-Topo-0.001-0.002-0.02.txt, dist, optimistic, 1.00
connections_300_NSFNET-Topo-0.001-0.014-0.14.txt, dist, optimistic, 0.68
connections_200_NSFNET-Topo-0.001-0.018-0.18.txt, dist, optimistic, 0.74
connections_300_NSFNET-Topo-0.001-0.02-0.2.txt, dist, optimistic, 0.58
connections_200_NSFNET-Topo-0.001-0.014-0.14.txt, dist, optimistic, 0.74
connections_300_NSFNET-Topo-0.001-0.006-0.06.txt, dist, optimistic, 0.92
connections_300_NSFNET-Topo-0.001-0.016-0.16.txt, dist, optimistic, 0.57
connections_100_NSFNET-Topo-0.001-0.008-0.08.txt, dist, optimistic, 1.00
connections_100_NSFNET-Topo-0.001-0.014-0.14.txt, dist, optimistic, 0.87
connections_200_NSFNET-Topo-0.001-0.008-0.08.txt, dist, optimistic, 0.94
connections_100_NSFNET-Topo-0.001-0.002-0.02.txt, dist, optimistic, 1.00
connections_100_NSFNET-Topo-0.001-0.018-0.18.txt, dist, optimistic, 0.94
connections_200_NSFNET-Topo-0.001-0.006-0.06.txt, dist, optimistic, 0.96
connections_100_NSFNET-Topo-0.001-0.016-0.16.txt, dist, optimistic, 0.88
connections_100_NSFNET-Topo-0.001-0.004-0.04.txt, dist, optimistic, 1.00
connections_200_NSFNET-Topo-0.001-0.004-0.04.txt, dist, optimistic, 1.00
connections_200_NSFNET-Topo-0.001-0.01-0.1.txt, dist, optimistic, 0.85
connections_200_NSFNET-Topo-0.001-0.002-0.02.txt, dist, optimistic, 1.00
connections_100_NSFNET-Topo-0.001-0.012-0.12.txt, dist, optimistic, 0.96
connections_200_NSFNET-Topo-0.001-0.016-0.16.txt, dist, optimistic, 0.77
connections_100_NSFNET-Topo-0.001-0.02-0.2.txt, dist, optimistic, 0.80
connections_300_NSFNET-Topo-0.001-0.008-0.08.txt, dist, optimistic, 0.82
connections_100_NSFNET-Topo-0.001-0.01-0.1.txt, dist, optimistic, 0.98
connections_200_NSFNET-Topo-0.001-0.012-0.12.txt, dist, optimistic, 0.85
connections_300_NSFNET-Topo-0.001-0.018-0.18.txt, dist, optimistic, 0.60





/////////// PESSIMISTIC ///////////


connections_300_NSFNET-Topo-0.001-0.012-0.12.txt, dist, pessimistic, 0.49
connections_200_NSFNET-Topo-0.001-0.02-0.2.txt, dist, pessimistic, 0.46
connections_300_NSFNET-Topo-0.001-0.01-0.1.txt, dist, pessimistic, 0.55
