8,0.5,INQ,3.61083,0.49725,0.0108169
8,0.1,NOQ,1,0.0949125,0.0437028
8,0.2,NOQ,1,0.182762,0.0867583
8,0.3,NOQ,1,0.26405,0.124974
8,0.1,INQ,1.05233,0.0993625,0
8,0.2,INQ,1.14546,0.199975,0
8,0.3,INQ,1.30029,0.301837,0
8,0.1,1,1,CIOQ,1.05296,0.0993625,0
8,0.2,1,1,CIOQ,1.14383,0.199975,0
8,0.3,1,1,CIOQ,1.29311,0.301638,0.000662608
8,0.1,NOQ,1,0.0949125,0.0437028
8,0.2,NOQ,1,0.182762,0.0867583
8,0.3,NOQ,1,0.26405,0.124974
8,0.1,INQ,1.05233,0.0993625,0
8,0.2,INQ,1.14546,0.199975,0
8,0.3,INQ,1.30029,0.301837,0
8,0.1,1,1,CIOQ,1.05296,0.0993625,0
8,0.2,1,1,CIOQ,1.14383,0.199975,0
8,0.3,1,1,CIOQ,1.29311,0.301638,0.000662608
8,0.01,NOQ,1,0.0095875,0.00130208
8,0.1,NOQ,1,0.0949125,0.0437028
8,0.2,NOQ,1,0.182762,0.0867583
8,0.3,NOQ,1,0.26405,0.124974
8,0.4,NOQ,1,0.337325,0.162472
8,0.5,NOQ,1,0.400962,0.197132
8,0.6,NOQ,1,0.463325,0.228499
8,0.7,NOQ,1,0.5202,0.259146
8,0.8,NOQ,1,0.568875,0.288773
8,0.9,NOQ,1,0.615762,0.316674
8,0.99,NOQ,1,0.652487,0.340639
8,0.01,INQ,1,0.009625,0
8,0.1,INQ,1.05233,0.0993625,0
8,0.2,INQ,1.14546,0.199975,0
8,0.3,INQ,1.30029,0.301837,0
8,0.4,INQ,1.7357,0.401813,3.11081e-05
8,0.5,INQ,3.61083,0.49725,0.0108169
8,0.6,INQ,6.90106,0.5549,0.0788895
8,0.7,INQ,9.34142,0.5881,0.15852
8,0.8,INQ,11.4262,0.607012,0.240475
8,0.9,INQ,13.4244,0.6154,0.316811
8,0.99,INQ,14.339,0.615925,0.377987
8,0.01,1,1,CIOQ,1,0.009625,0
8,0.1,1,1,CIOQ,1.05296,0.0993625,0
8,0.2,1,1,CIOQ,1.14383,0.199975,0
8,0.3,1,1,CIOQ,1.29311,0.301638,0.000662608
8,0.4,1,1,CIOQ,1.64361,0.399838,0.00494618
8,0.5,1,1,CIOQ,2.33595,0.492225,0.0208131
8,0.6,1,1,CIOQ,3.4642,0.564175,0.0634934
8,0.7,1,1,CIOQ,4.50788,0.617788,0.116042
8,0.8,1,1,CIOQ,5.32569,0.659763,0.174471
8,0.9,1,1,CIOQ,6.00307,0.692588,0.23112
8,0.99,1,1,CIOQ,6.33105,0.719938,0.272946
8,0.01,NOQ,1,0.0095875,0.00130208
8,0.1,NOQ,1,0.0949125,0.0437028
8,0.2,NOQ,1,0.182762,0.0867583
8,0.3,NOQ,1,0.26405,0.124974
8,0.4,NOQ,1,0.337325,0.162472
8,0.5,NOQ,1,0.400962,0.197132
8,0.6,NOQ,1,0.463325,0.228499
8,0.7,NOQ,1,0.5202,0.259146
8,0.8,NOQ,1,0.568875,0.288773
8,0.9,NOQ,1,0.615762,0.316674
8,0.99,NOQ,1,0.652487,0.340639
8,0.01,INQ,1,0.009625,0
8,0.1,INQ,1.05233,0.0993625,0
8,0.2,INQ,1.14546,0.199975,0
8,0.3,INQ,1.30029,0.301837,0
8,0.4,INQ,1.7357,0.401813,3.11081e-05
8,0.5,INQ,3.61083,0.49725,0.0108169
8,0.6,INQ,6.90106,0.5549,0.0788895
8,0.7,INQ,9.34142,0.5881,0.15852
8,0.8,INQ,11.4262,0.607012,0.240475
8,0.9,INQ,13.4244,0.6154,0.316811
8,0.99,INQ,14.339,0.615925,0.377987
8,0.01,1,1,CIOQ,1,0.009625,0
8,0.1,1,1,CIOQ,1.05296,0.0993625,0
8,0.2,1,1,CIOQ,1.14383,0.199975,0
8,0.3,1,1,CIOQ,1.29311,0.301638,0.000662608
8,0.4,1,1,CIOQ,1.64361,0.399838,0.00494618
8,0.5,1,1,CIOQ,2.33595,0.492225,0.0208131
8,0.6,1,1,CIOQ,3.4642,0.564175,0.0634934
8,0.7,1,1,CIOQ,4.50788,0.617788,0.116042
8,0.8,1,1,CIOQ,5.32569,0.659763,0.174471
8,0.9,1,1,CIOQ,6.00307,0.692588,0.23112
8,0.99,1,1,CIOQ,6.33105,0.719938,0.272946
